Id,SalePrice
1461,124730.67
1462,157878.34
1463,194918.83
1464,198276.53
1465,179982.98
1466,177054.75
1467,177229.1
1468,162569.5
1469,181275.98
1470,124888.15
1471,188850.27
1472,92733.53
1473,97106.23
1474,150387.27
1475,111489.27
1476,362504.38
1477,234622.4
1478,262069.52
1479,274753.16
1480,518968.94
1481,326833.25
1482,197099.53
1483,174248.1
1484,160610.69
1485,168133.78
1486,187264.67
1487,342780.75
1488,231141.14
1489,197652.19
1490,247158.58
1491,184283.69
1492,83857.36
1493,178443.75
1494,291201.1
1495,287172.7
1496,248504.6
1497,189202.52
1498,161870.39
1499,160615.44
1500,158654.61
1501,175832.61
1502,140592.52
1503,302285.38
1504,230804.12
1505,232365.36
1506,182316.05
1507,276252.62
1508,205386.67
1509,160925.45
1510,149820.53
1511,147494.25
1512,178729.03
1513,145211.98
1514,146637.72
1515,204794.81
1516,146357.73
1517,158496.88
1518,130743.35
1519,220516.2
1520,132466.31
1521,137558.25
1522,172527.73
1523,113243.484
1524,121909.49
1525,124630.32
1526,117018.23
1527,106513.1
1528,123693.805
1529,146627.66
1530,172188.47
1531,112676.4
1532,93354.49
1533,148378.56
1534,117195.58
1535,153982.25
1536,102732.76
1537,73665.75
1538,126760.66
1539,172343.89
1540,95654.43
1541,136339.31
1542,135474.42
1543,191565.19
1544,77111.69
1545,111489.805
1546,130889.695
1547,130505.54
1548,129759.42
1549,118201.76
1550,147632.86
1551,110946.01
1552,144091.27
1553,142300.94
1554,116184.56
1555,165816.23
1556,73008.664
1557,108752.48
1558,93320.76
1559,78170.59
1560,139416.08
1561,131251.44
1562,127837.74
1563,118385.65
1564,158262.61
1565,150097.98
1566,229371.47
1567,74660.6
1568,222992.2
1569,150652.11
1570,139484.7
1571,119210.89
1572,144714.14
1573,256445.58
1574,108503.85
1575,229358.56
1576,250749.05
1577,189110.16
1578,133234.48
1579,144489.5
1580,184499.64
1581,148452.16
1582,122982.65
1583,317078.66
1584,233592.05
1585,139138.22
1586,69285.85
1587,98451.336
1588,147074.69
1589,93233.94
1590,131624.61
1591,95778.4
1592,100990.52
1593,119809.94
1594,126548.07
1595,124234.2
1596,217485.11
1597,178918.16
1598,194583.77
1599,170569.92
1600,164910.23
1601,73222.31
1602,118881.875
1603,71710.99
1604,261027.89
1605,237264.94
1606,170570.73
1607,161103.89
1608,216801.73
1609,182400.75
1610,147267.25
1611,131220.16
1612,177495.33
1613,169657.2
1614,119324.516
1615,86982.78
1616,76268.195
1617,91796.6
1618,121543.586
1619,147349.86
1620,194544.81
1621,142267.16
1622,134646.98
1623,262962.28
1624,233093.56
1625,118714.65
1626,160783.88
1627,186742.84
1628,262848.97
1629,172825.64
1630,384455.8
1631,196214.12
1632,228419.06
1633,158884.75
1634,195029.84
1635,183942.7
1636,160205.45
1637,202579.6
1638,184226.4
1639,177785.53
1640,237930.89
1641,169128.62
1642,233237.44
1643,217266
1644,219209.28
1645,203241.39
1646,147436.6
1647,150065.92
1648,132345.22
1649,135595.14
1650,115838.04
1651,119069.31
1652,93281.78
1653,93456.13
1654,145066.64
1655,132918.84
1656,144496.39
1657,146500.31
1658,141505.34
1659,116689.03
1660,156861.4
1661,471394.94
1662,399949.28
1663,389042.94
1664,536278.4
1665,296883.1
1666,302142.12
1667,388878.97
1668,317187.53
1669,286319.22
1670,350721.22
1671,252528.5
1672,475329.62
1673,295499.28
1674,239827.44
1675,196150.89
1676,192683.78
1677,228745.39
1678,492759.5
1679,417988.1
1680,334094.44
1681,225249.27
1682,308499.47
1683,170899.16
1684,167514.08
1685,175228.8
1686,160638.27
1687,161120.03
1688,184224.83
1689,194929.8
1690,193086.81
1691,174332.7
1692,259627.66
1693,154281.97
1694,182176.66
1695,159097.19
1696,290045.9
1697,166101.28
1698,368680.7
1699,296630.38
1700,251524.31
1701,263933.34
1702,235004.66
1703,243589.31
1704,289390.78
1705,220180.19
1706,470132.03
1707,218874
1708,202335.73
1709,258834.06
1710,212887.58
1711,253508.42
1712,248375
1713,295992
1714,221340.86
1715,204635.9
1716,174111.05
1717,161307.6
1718,127948
1719,188334.97
1720,221119.11
1721,152710.23
1722,119521.89
1723,149412.73
1724,211316.48
1725,223948.25
1726,190711
1727,164192.9
1728,172142.66
1729,169346.5
1730,158613.75
1731,112060.85
1732,129019.54
1733,118604.54
1734,123478.48
1735,126769.12
1736,112164.67
1737,283515.62
1738,218941.84
1739,265719.94
1740,248067.02
1741,211358.22
1742,175606.88
1743,172791.03
1744,272572.9
1745,212690.53
1746,177414.44
1747,211894.05
1748,227189.84
1749,156708.44
1750,128441.06
1751,227342.22
1752,120485.055
1753,148866.14
1754,198946.67
1755,163405.44
1756,121721.3
1757,119585.055
1758,148606.14
1759,150126.75
1760,160119.77
1761,140413.64
1762,184373.52
1763,170332.11
1764,117418.21
